Dataset,MrSEQL-SS,MiniROCKET,ROCKET,WEASEL,MrSQM_SFA_k5
ACSF1,160.345,1.01,36.419,68.208,21.962
Adiac,150.272,0.801,16.468,64.397,25.924
ArrowHead,5.414,0.372,6.454,6.723,3.536
Beef,12.383,0.302,3.54,5.468,2.534
BeetleFly,2.148,0.353,2.68,3.941,2.457
BirdChicken,2.079,0.278,2.673,3.879,2.358
BME,2.478,0.336,2.968,2.808,1.897
Car,18.741,0.453,8.449,11.55,5.524
CBF,3.574,0.671,14.244,12.647,7.018
Chinatown,0.12,0.358,1.309,0.803,1.003
ChlorineConcentration,378.303,2.484,84.733,88.637,41.425
CinCECGTorso,191.493,6.074,288.914,289.26,147.114
Coffee,1.707,0.264,2.138,3.082,1.826
Computers,61.644,1.28,42.844,87.435,22.112
CricketX,174.113,0.898,27.995,49.468,19.809
CricketY,163.664,0.902,28.017,46.994,17.326
CricketZ,170.415,0.897,28.017,47.771,19.173
Crop,976.568,63.303,193.736,216.316,507.485
DiatomSizeReduction,4.171,0.636,13.385,12.279,5.781
DistalPhalanxOutlineAgeGroup,17.667,0.429,5.513,13.866,4.66
DistalPhalanxOutlineCorrect,25.788,0.61,8.678,20.483,7.013
DistalPhalanxTW,19.144,0.43,5.448,14.271,4.797
Earthquakes,77.382,0.881,28.531,48.404,19.9
ECG200,2.006,0.454,2.554,5.574,1.948
ECG5000,43.488,2.457,81.837,79.291,39.579
ECGFiveDays,2.365,0.584,14.297,12.664,6.486
ElectricDevices,1087.53,103.869,298.801,2082.874,887.993
EOGHorizontalSignal,632.958,2.405,112.153,382.317,61.078
EOGVerticalSignal,645.532,2.538,109.89,288.267,68.877
EthanolLevel,1339.905,4.831,213.801,367.952,109.723
FaceAll,85.149,1.283,35.186,43.199,21.467
FaceFour,5.553,0.462,4.882,5.728,3.224
FacesUCR,33.506,1.071,35.34,35.396,17.713
FiftyWords,293.208,0.998,29.547,65.09,41.649
Fish,55.537,0.638,19.548,31.951,11.23
