Dataset,MrSQMR,MrSQMRS,MrSQMSR,MrSQMS,MrSEQL,ROCKET
ACSF1,0.92,0.93,0.92,0.92,0.72,0.807
Adiac,0.767,0.762,0.79,0.78,0.77,0.772
ArrowHead,0.829,0.811,0.8,0.777,0.817,0.859
Beef,0.7,0.767,0.8,0.8,0.733,0.76
BeetleFly,0.95,0.95,0.95,0.95,0.95,0.885
BirdChicken,0.95,0.95,1,1,0.95,0.882
BME,0.927,0.913,0.793,0.813,0.887,0.997
Car,0.833,0.85,0.833,0.833,0.833,0.912
CBF,1,1,1,1,1,0.996
Chinatown,0.968,0.971,0.968,0.965,0.974,0.967
ChlorineConcentration,0.723,0.727,0.722,0.722,0.715,0.796
CinCECGTorso,0.926,0.93,0.87,0.869,0.862,0.864
Coffee,0.964,0.964,0.964,0.964,1,1
Computers,0.732,0.74,0.704,0.708,0.708,0.843
CricketX,0.764,0.795,0.8,0.8,0.81,0.839
CricketY,0.8,0.818,0.821,0.813,0.823,0.845
CricketZ,0.8,0.803,0.787,0.797,0.815,0.853
Crop,0.689,0.701,0.699,0.685,0.694,0.752
DiatomSizeReduction,0.889,0.895,0.892,0.889,0.954,0.958
DistalPhalanxOutlineAgeGroup,0.77,0.741,0.784,0.763,0.741,0.812
DistalPhalanxOutlineCorrect,0.79,0.797,0.761,0.783,0.79,0.824
DistalPhalanxTW,0.691,0.683,0.691,0.676,0.662,0.701
Earthquakes,0.748,0.755,0.748,0.748,0.748,0.748
ECG200,0.87,0.84,0.86,0.85,0.88,0.899
ECG5000,0.948,0.949,0.946,0.946,0.946,0.947
ECGFiveDays,0.999,1,1,1,1,0.996
ElectricDevices,0.757,0.764,0.76,0.756,0.718,0.893
EOGHorizontalSignal,0.63,0.622,0.622,0.599,0.622,0.814
EOGVerticalSignal,0.508,0.492,0.497,0.497,0.539,0.781
EthanolLevel,0.616,0.636,0.678,0.706,0.676,0.625
FaceAll,0.804,0.819,0.8,0.792,0.799,0.988
FaceFour,1,1,0.966,0.807,1,0.931
FacesUCR,0.912,0.933,0.913,0.914,0.949,0.971
FiftyWords,0.686,0.675,0.67,0.705,0.765,0.825
Fish,0.983,0.989,0.989,0.994,0.96,0.974
FordA,0.952,0.954,0.961,0.954,0.953,0.942
FreezerRegularTrain,0.996,0.997,0.998,0.999,0.998,0.994
