Dataset,MrSEQL-SS,MiniROCKET,ROCKET,WEASEL_sktime,MrSQM_SFA_k5
ACSF1,0.72,0.91,0.88,0.86,0.89
Adiac,0.77,0.816,0.79,0.829,0.811
ArrowHead,0.817,0.863,0.817,0.869,0.851
Beef,0.733,0.867,0.833,0.833,0.8
BeetleFly,0.95,0.85,0.9,0.85,0.95
BirdChicken,0.95,0.9,0.9,0.9,0.9
BME,0.887,1,1,0.907,0.893
Car,0.833,0.917,0.9,0.867,0.867
CBF,1,0.999,1,0.99,0.996
Chinatown,0.974,0.983,0.98,0.956,0.962
ChlorineConcentration,0.715,0.755,0.812,0.724,0.692
CinCECGTorso,0.862,0.857,0.826,0.973,0.933
Coffee,1,1,1,1,0.964
Computers,0.708,0.744,0.756,0.712,0.74
CricketX,0.81,0.821,0.826,0.756,0.805
CricketY,0.823,0.826,0.856,0.767,0.836
CricketZ,0.815,0.828,0.862,0.769,0.823
Crop,0.694,0.751,0.751,0.736,0.704
DiatomSizeReduction,0.954,0.928,0.977,0.882,0.912
DistalPhalanxOutlineAgeGroup,0.741,0.734,0.763,0.777,0.734
DistalPhalanxOutlineCorrect,0.79,0.793,0.772,0.775,0.775
DistalPhalanxTW,0.662,0.691,0.719,0.683,0.698
Earthquakes,0.748,0.748,0.748,0.734,0.748
ECG200,0.88,0.91,0.9,0.85,0.84
ECG5000,0.946,0.945,0.946,0.942,0.948
ECGFiveDays,1,1,1,0.998,1
ElectricDevices,0.718,0.741,0.729,0.754,0.725
EOGHorizontalSignal,0.622,0.61,0.619,0.486,0.657
EOGVerticalSignal,0.539,0.555,0.552,0.331,0.464
EthanolLevel,0.676,0.578,0.594,0.498,0.656
FaceAll,0.799,0.807,0.947,0.776,0.82
FaceFour,1,0.989,0.977,0.932,0.943
FacesUCR,0.949,0.96,0.961,0.88,0.933
FiftyWords,0.765,0.837,0.833,0.774,0.743
Fish,0.96,0.977,0.983,0.977,1
FordA,0.953,0.947,0.948,0.966,0.953
FreezerRegularTrain,0.998,1,0.997,0.98,0.997
FreezerSmallTrain,0.999,0.967,0.951,0.956,0.991
GunPoint,1,0.993,1,0.993,1
GunPointAgeSpan,0.991,0.997,0.997,0.997,1
GunPointMaleVersusFemale,0.987,1,0.997,0.997,1
GunPointOldVersusYoung,0.978,1,0.994,0.987,0.994
Ham,0.733,0.714,0.724,0.733,0.771
Haptics,0.545,0.542,0.523,0.39,0.571
Herring,0.594,0.656,0.703,0.609,0.688
HouseTwenty,0.958,0.958,0.966,0.966,0.983
InlineSkate,0.438,0.476,0.447,0.562,0.442
InsectEPGRegularTrain,0.968,1,1,1,0.996
InsectEPGSmallTrain,0.888,0.992,0.98,1,0.799
InsectWingbeatSound,0.641,0.673,0.657,0.637,0.634
ItalyPowerDemand,0.942,0.963,0.969,0.948,0.948
LargeKitchenAppliances,0.869,0.867,0.893,0.68,0.869
Lightning2,0.787,0.738,0.77,0.59,0.787
Lightning7,0.795,0.795,0.808,0.726,0.753
Mallat,0.954,0.946,0.956,0.951,0.959
Meat,0.933,0.967,0.95,0.817,0.9
MedicalImages,0.726,0.789,0.805,0.736,0.733
MiddlePhalanxOutlineAgeGroup,0.519,0.61,0.591,0.571,0.552
MiddlePhalanxOutlineCorrect,0.79,0.849,0.838,0.766,0.787
MiddlePhalanxTW,0.539,0.539,0.552,0.571,0.558
MixedShapesRegularTrain,0.967,0.971,0.973,0.97,0.981
MixedShapesSmallTrain,0.93,0.95,0.936,0.948,0.96
MoteStrain,0.927,0.927,0.917,0.95,0.958
OliveOil,0.9,0.933,0.9,0.9,0.967
OSULeaf,0.95,0.959,0.942,0.963,0.983
PhalangesOutlinesCorrect,0.81,0.837,0.833,0.777,0.81
Phoneme,0.296,0.291,0.284,0.31,0.372
PigAirwayPressure,0.692,0.865,0.091,0.745,0.952
PigArtPressure,0.87,0.981,0.962,1,0.99
PigCVP,0.644,0.947,0.933,0.962,0.952
Plane,1,1,1,1,1
PowerCons,0.933,0.989,0.933,0.961,0.956
ProximalPhalanxOutlineAgeGroup,0.82,0.854,0.854,0.849,0.829
ProximalPhalanxOutlineCorrect,0.863,0.904,0.897,0.89,0.89
ProximalPhalanxTW,0.805,0.81,0.82,0.795,0.805
RefrigerationDevices,0.595,0.483,0.515,0.517,0.632
Rock,0.88,0.82,0.9,0.82,0.94
ScreenType,0.528,0.461,0.472,0.544,0.547
SemgHandGenderCh2,0.887,0.882,0.927,0.822,0.858
SemgHandMovementCh2,0.656,0.68,0.629,0.338,0.604
SemgHandSubjectCh2,0.911,0.867,0.887,0.638,0.851
ShapeletSim,1,1,1,0.994,1
ShapesAll,0.938,0.923,0.905,0.932,0.948
SmallKitchenAppliances,0.829,0.832,0.803,0.723,0.816
SmoothSubspace,0.853,0.953,0.973,0.74,0.82
SonyAIBORobotSurface1,0.867,0.887,0.925,0.827,0.674
SonyAIBORobotSurface2,0.943,0.921,0.912,0.945,0.929
StarLightCurves,0.981,0.982,0.981,0.974,0.982
Strawberry,0.978,0.984,0.984,0.97,0.97
SwedishLeaf,0.955,0.962,0.962,0.968,0.96
Symbols,0.965,0.983,0.973,0.979,0.984
SyntheticControl,0.98,0.987,1,0.99,0.987
ToeSegmentation1,0.952,0.961,0.956,0.947,0.974
ToeSegmentation2,0.915,0.923,0.931,0.915,0.931
Trace,1,1,1,1,1
TwoLeadECG,0.995,0.998,0.999,0.999,0.999
TwoPatterns,0.998,0.997,1,0.992,0.999
UMD,0.944,0.993,0.993,0.986,0.958
UWaveGestureLibraryAll,0.957,0.972,0.976,0.841,0.937
UWaveGestureLibraryX,0.828,0.843,0.856,0.787,0.826
UWaveGestureLibraryY,0.757,0.769,0.776,0.692,0.775
UWaveGestureLibraryZ,0.783,0.797,0.791,0.722,0.793
Wafer,0.998,0.999,0.998,1,1
Wine,0.852,0.852,0.778,0.759,0.889
WordSynonyms,0.679,0.762,0.757,0.668,0.677
Worms,0.74,0.74,0.727,0.844,0.753
WormsTwoClass,0.805,0.792,0.818,0.818,0.805
Yoga,0.908,0.91,0.91,0.886,0.912
